"package","info","own","sos","level_probs1","level_se"
12,"Anon","Government","Yes",0.89849209603668,0.77842112114491
4,"Anon","Fishers","Yes",0.834949193065248,0.611200456686747
10,"Non-anon","Government","Yes",0.819752298739403,0.70310891639458
11,"Anon","Government","No",0.738396053434324,0.608400256938637
2,"Non-anon","Fishers","Yes",0.722161037545827,0.481833411409833
8,"Anon","Industry","Yes",0.721962375889163,0.629239745056707
3,"Anon","Fishers","No",0.617319178415374,0.390014835990403
9,"Non-anon","Government","No",0.591878773953826,0.511407654658489
6,"Non-anon","Industry","Yes",0.571581250084117,0.537029493848685
16,"Anon","Public Access","Yes",0.5467941889366,0.304552287672704
1,"Non-anon","Fishers","No",0.4532058110634,0.266307340108803
7,"Anon","Industry","No",0.452960515001973,0.427701041117967
14,"Non-anon","Public Access","Yes",0.382680821584626,0.283851816714217
5,"Non-anon","Industry","No",0.298463125348949,0.342026346284474
15,"Anon","Public Access","No",0.277838962454173,0.263490496415077
13,"Non-anon","Public Access","No",0.165050806934752,0.237079836781254
